No,Kota,PGA,Ss,S1,TL
1,Ambarawa,0.41,0.94,0.41,20.00
2,Ambon,0.50,1.08,0.39,8.00
3,Ambulu,0.45,0.99,0.44,20.00
4,Ampel,0.38,0.87,0.41,20.00
5,Ampenan,0.46,1.05,0.41,12.00
6,Anyer,0.44,0.94,0.45,20.00
7,Asahan,0.32,0.68,0.36,20.00
8,Asembagus,0.33,0.72,0.30,20.00
9,Atambua,0.48,1.05,0.40,12.00
10,Badad,0.33,0.70,0.31,20.00
11,Bagansiapiapi,0.17,0.33,0.24,20.00
12,Balikpapan,0.06,0.12,0.08,16.00
13,Banda,0.59,1.47,0.58,20.00
14,B.Lampung,0.39,0.87,0.43,20.00
15,B.Sri_Begawan,0.02,0.05,0.04,16.00
16,Bandung,0.50,1.12,0.49,20.00
17,Bangil,0.03,0.72,0.34,20.00
18,Bangilan,0.29,0.60,0.28,20.00
19,Bangka,0.08,0.18,0.14,16.00
20,Bangkalan,0.28,0.58,0.26,20.00
21,Banjarmasin,0.05,0.10,0.05,12.00
22,Banjarnegara,0.33,0.72,0.37,20.00
23,Banten,0.40,0.84,0.42,20.00
24,Bantul,0.57,1.38,0.58,20.00
25,Banyubiru,0.40,0.92,0.41,20.00
26,Banyumas,0.35,0.78,0.38,20.00
27,Banyuwangi,0.40,0.90,0.38,20.00
28,Batam,0.03,0.08,0.12,12.00
29,Batang,0.28,0.62,0.31,20.00
30,Batanghari,0.20,0.40,0.30,20.00
31,Batu(Jatim),0.35,0.75,0.36,20.00
32,Bawean,0.25,0.49,0.21,20.00
33,Bekasi,0.39,0.84,0.39,20.00
34,Benoa,0.43,0.96,0.40,12.00
35,Besuki,0.40,0.88,0.40,20.00
36,Biak,0.60,1.50,0.60,16.00
37,Bima,0.51,1.12,0.47,12.00
38,Binangun,0.49,1.07,0.49,20.00
39,Binjai,0.32,0.72,0.39,20.00
40,Bitung,0.60,1.50,0.60,12.00
41,Blambangan,0.48,1.05,0.46,20.00
42,Belitang,0.23,0.47,0.32,20.00
43,Belitung,0.03,0.07,0.09,12.00
44,Bendungan,0.48,1.05,0.51,20.00
45,Bengkalis,0.09,0.18,0.18,20.00
46,Bengkulu,0.60,1.50,0.60,20.00
47,Blitar,0.46,1.00,0.46,20.00
