ID,Level of Code,BuildingType,ndsmedian,ndsbeta,ndmmedian,ndmbeta,ndemedian,ndebeta,ndcmedian,ndcbeta
S1LH,H,S1L,21.844,0.81,43.942,0.85,137.16,0.77,274.32,0.76
S1MH,H,S1M,54.864,0.72,109.728,0.72,342.9,0.72,685.8,0.8
S1HH,H,S1H,114.046,0.72,228.346,0.71,713.232,0.74,1426.464,0.77
C1LH,H,C1L,18.288,0.85,36.576,0.88,114.3,0.9,228.6,0.89
C1MH,H,C1M,45.72,0.72,91.44,0.73,285.75,0.75,571.5,0.85
C1HH,H,C1H,87.884,0.71,175.514,0.71,548.64,0.78,1097.28,0.89
RM1LH,H,RM1L,18.288,0.89,36.576,0.91,114.3,0.97,228.6,1.06
RM1MH,H,RM1M,45.72,0.82,91.44,0.86,285.75,0.8,571.5,0.81
URMLH,H,URML,13.716,1.07,27.432,1.12,85.852,1.17,171.45,1.01
URMMH,H,URMM,32.004,0.97,64.008,0.91,200.152,0.98,400.05,1.04
S1LM,M,S1L,21.844,0.85,43.942,0.83,137.16,0.79,274.32,0.87
S1MM,M,S1M,54.864,0.72,109.728,0.74,342.9,0.85,685.8,0.95
S1HM,M,S1H,114.046,0.71,228.346,0.73,713.232,0.84,1426.464,0.95
C1LM,M,C1L,18.288,0.92,36.576,0.96,114.3,0.95,228.6,0.89
C1MM,M,C1M,45.72,0.76,91.44,0.76,285.75,0.87,571.5,0.98
C1HM,M,C1H,87.884,0.74,175.514,0.81,548.64,0.95,1097.28,1.03
RM1LM,M,RM1L,18.288,1.01,36.576,1.06,114.3,1.11,228.6,1.01
RM1MM,M,RM1M,45.72,0.89,91.44,0.85,285.75,0.84,571.5,0.98
URMLM,M,URML,13.716,1.07,27.432,1.12,85.852,1.17,171.45,1.01
URMMM,M,URMM,32.004,0.97,64.008,0.91,200.152,0.98,400.05,1.04
S1LL,L,S1L,21.844,0.86,43.942,0.84,137.16,0.88,274.32,1
S1ML,L,S1M,54.864,0.75,109.728,0.89,342.9,0.99,685.8,1.05
S1HL,L,S1H,114.046,0.75,228.346,0.87,713.232,0.97,1426.464,1.04
C1LL,L,C1L,18.288,1,36.576,0.96,114.3,0.9,228.6,1.02
C1ML,L,C1M,45.72,0.79,91.44,0.88,285.75,0.99,571.5,1.06
C1HL,L,C1H,87.884,0.87,175.514,0.96,548.64,1.02,1097.28,1.07
RM1LL,L,RM1L,18.288,1.16,36.576,1.12,114.3,1.03,228.6,0.99
RM1ML,L,RM1M,45.72,0.89,91.44,0.89,285.75,1,571.5,1.05
URMLL,L,URML,13.716,1.07,27.432,1.12,85.852,1.17,171.45,1.01
URMML,L,URMM,32.004,0.97,64.008,0.91,200.152,0.98,400.05,1.04
S1LP,P,S1L,21.844,0.9,43.942,0.87,137.16,0.91,274.32,1.02
S1MP,P,S1M,54.864,0.8,109.728,0.92,342.9,1,685.8,1.06
S1HP,P,S1H,114.046,0.79,228.346,0.89,713.232,1,1426.464,1.07
C1LP,P,C1L,18.288,1.02,36.576,0.98,114.3,0.93,228.6,1.03
C1MP,P,C1M,45.72,0.82,91.44,0.91,285.75,1.02,571.5,1.06
C1HP,P,C1H,87.884,0.9,175.514,0.99,548.64,1.05,1097.28,1.1
RM1LP,P,RM1L,18.288,1.22,36.576,1.14,114.3,1.03,228.6,1
RM1MP,P,RM1M,45.72,0.93,91.44,0.92,285.75,1.02,571.5,1.07
URMLP,P,URML,13.716,1.21,27.432,1.22,85.852,1.22,171.45,1.03
URMMP,P,URMM,32.004,0.99,64.008,0.95,200.152,1,400.05,1.05
